Topic,Frequency,date,Name
-1,1087,1/11/2019,-1_stay_work_care_safe
0,50,1/11/2019,0_bahasa_tuan_sa_yang
1,566,1/11/2019,1_riders_road_bicycle_pedestrians
2,29,1/11/2019,2_singaporean_singaporeans_proud_lucky
3,63,1/11/2019,3_michelle_rachel_nicole_karen
4,62,1/11/2019,4_hui_jia_sheng_yang
5,1,1/11/2019,5_mask_masks_face_sanitizer
6,26,1/11/2019,6_school_schools_parents_teachers
7,35,1/11/2019,7_german_germ_germans_gerl
8,43,1/11/2019,8_vote_election_elections_voting
9,15,1/11/2019,9_leadership_leader_leaders_inspiring
10,2,1/11/2019,10_virus_spread_viruses_infected
11,35,1/11/2019,11_goh_jason_ryan_sean
12,15,1/11/2019,12_speak_voice_hear_sing
13,2,1/11/2019,13_christmas_holiday_holidays_xmas
14,9,1/11/2019,14_wish_happiness_wishing_happy
15,18,1/11/2019,15_team_liverpool_players_game
16,12,1/11/2019,16_government_trust_govt_governance
17,14,1/11/2019,17_china_chinese_asians_communist
18,3,1/11/2019,18_lockdown_lock_island_weeks
19,3,1/11/2019,19_prime_minister_ministers_bless
20,28,1/11/2019,20_bus_buses_transport_train
21,41,1/11/2019,21_eat_food_eating_lunch
22,3,1/11/2019,22_sire_thanka_thankes_informingmr
23,14,1/11/2019,23_supermarket_supermarkets_queue_malls
24,7,1/11/2019,24_condolences_rip_family_condolence
26,4,1/11/2019,26_pray_praying_kindness_prayers
27,20,1/11/2019,27_hk_kong_hong_hongkong
29,13,1/11/2019,29_jail_punishment_prison_probation
31,13,1/11/2019,31_video_tv_netflix_videos
32,15,1/11/2019,32_bless_lord_blessing_blessed
33,20,1/11/2019,33_cambodia_indonesia_thailand_asean
34,13,1/11/2019,34_stupid_stupidity_idiot_idiots
35,12,1/11/2019,35_employers_workers_employer_jobs
36,12,1/11/2019,36_country_world_countries_nation
37,18,1/11/2019,37_photo_photos_pictures_pic
38,4,1/11/2019,38_wait_soon_end_waiting
39,1,1/11/2019,39_birthday_happy_blessed_bless
40,6,1/11/2019,40_death_deaths_die_dead
41,5,1/11/2019,41_cases_imported_case_import
42,16,1/11/2019,42_hsien_loong_ching_ng
43,15,1/11/2019,43_money_cash_dollars_earn
44,4,1/11/2019,44_sgunited_care_efforts_work
45,2,1/11/2019,45_marathon_event_runners_marathons
46,37,1/11/2019,46_ban_banned_remove_robbery
47,24,1/11/2019,47_sad_crying_cry_tears
48,3,1/11/2019,48_malaysia_malaysian_malaysians_politic...
49,66,1/11/2019,49_condo_rent_rental_hotels
55,7,1/11/2019,55_love_loved_kiss_affection
56,3,1/11/2019,56_parents_maids_cry_mother
57,1,1/11/2019,57_warm_cold_rain_winter
58,1,1/11/2019,58_fight_fighting_tough_enemy
59,8,1/11/2019,59_news_media_reporting_journalist
60,4,1/11/2019,60_congrats_congratulations_congratulati...
61,3,1/11/2019,61_allah_alhamdulillah_allahu_muslims
62,43,1/11/2019,62_morning_nice_day_lovely
63,1,1/11/2019,63_team_hard_appreciate_efforts
64,3,1/11/2019,64_gathering_gatherings_cancel_events
65,18,1/11/2019,65_cheap_buy_cheaper_discount
66,4,1/11/2019,66_singapura_majulah_singapor_singapur
67,5,1/11/2019,67_rip_volcker_tragic_hau
69,12,1/11/2019,69_flowers_garden_trees_plant
70,8,1/11/2019,70_sg_ps_sgd_gbu
71,7,1/11/2019,71_mathematics_quadratic_equations_solve
72,2,1/11/2019,72_rest_tired_break_lose
73,7,1/11/2019,73_fruitful_mexico_meeting_enjoyable
74,2,1/11/2019,74_time_change_period_conscription
75,2,1/11/2019,75_toilet_toilets_wash_soap
76,8,1/11/2019,76_ng_nguy_minh_tran
78,4,1/11/2019,78_job_lta_jobs_pla
79,5,1/11/2019,79_respect_australia_respectful_sydney
80,5,1/11/2019,80_done_well_wel_treatment
81,2,1/11/2019,81_eclipse_solar_moon_sun
82,1,1/11/2019,82_quarantine_quarantined_weeks_faciliti...
83,6,1/11/2019,83_ask_question_quiz_asking
84,3,1/11/2019,84_salute_respect_frontliners_salutes
85,6,1/11/2019,85_rioters_protesters_protest_protestors
86,3,1/11/2019,86_pay_salary_payout_paid
87,1,1/11/2019,87_safe_keeping_safety_keep
88,9,1/11/2019,88_malaysian_singaporeans_singaporean_ma...
90,2,1/11/2019,90_bla_jb_bm_hbd
91,1,1/11/2019,91_thanks_thanksss_ledar_yck
92,6,1/11/2019,92_cpf_money_withdraw_retirement
93,1,1/11/2019,93_casino_casinos_gym_gyms
94,4,1/11/2019,94_father_uncle_son_boy
97,6,1/11/2019,97_wishes_wish_congratulations_wishing
98,1,1/11/2019,98_malay_language_cantonese_languages
99,1,1/11/2019,99_water_maid_clean_wash
100,2,1/11/2019,100_korea_korean_seoul_koreans
101,3,1/11/2019,101_airport_flight_plane_flights
102,6,1/11/2019,102_ya_yay_yap_woof
103,2,1/11/2019,103_hope_heartless_success_tide
104,7,1/11/2019,104_orbi_goody_game_ider
105,4,1/11/2019,105_sharing_thanks_contribution_shared
108,5,1/11/2019,108_beautiful_pretty_nature_beauty
109,1,1/11/2019,109_happy_glad_boxing_bday
110,7,1/11/2019,110_news_sad_sadhu_report
111,3,1/11/2019,111_gst_increase_raise_taxes
112,1,1/11/2019,112_support_wp_supporting_hesitation
113,3,1/11/2019,113_hair_thumbs_nails_hairianto
114,2,1/11/2019,114_congratulations_awesome_sooo_everyon...
115,1,1/11/2019,115_dark_darker_sun_darkness
-1,2238,9/11/2019,-1_stay_work_care_safe
0,127,9/11/2019,0_bahasa_tuan_sa_yang
1,759,9/11/2019,1_riders_road_bicycle_pedestrians
2,43,9/11/2019,2_singaporean_singaporeans_proud_lucky
3,58,9/11/2019,3_michelle_rachel_nicole_karen
4,83,9/11/2019,4_hui_jia_sheng_yang
5,12,9/11/2019,5_mask_masks_face_sanitizer
6,85,9/11/2019,6_school_schools_parents_teachers
7,51,9/11/2019,7_german_germ_germans_gerl
8,282,9/11/2019,8_vote_election_elections_voting
9,14,9/11/2019,9_leadership_leader_leaders_inspiring
10,2,9/11/2019,10_virus_spread_viruses_infected
11,58,9/11/2019,11_goh_jason_ryan_sean
12,181,9/11/2019,12_speak_voice_hear_sing
13,10,9/11/2019,13_christmas_holiday_holidays_xmas
14,12,9/11/2019,14_wish_happiness_wishing_happy
15,27,9/11/2019,15_team_liverpool_players_game
16,29,9/11/2019,16_government_trust_govt_governance
17,30,9/11/2019,17_china_chinese_asians_communist
18,8,9/11/2019,18_lockdown_lock_island_weeks
19,28,9/11/2019,19_prime_minister_ministers_bless
20,15,9/11/2019,20_bus_buses_transport_train
21,12,9/11/2019,21_eat_food_eating_lunch
22,7,9/11/2019,22_sire_thanka_thankes_informingmr
23,10,9/11/2019,23_supermarket_supermarkets_queue_malls
24,7,9/11/2019,24_condolences_rip_family_condolence
25,2,9/11/2019,25_nurses_doctors_staff_workers
26,8,9/11/2019,26_pray_praying_kindness_prayers
27,95,9/11/2019,27_hk_kong_hong_hongkong
28,16,9/11/2019,28_chinese_happy_thaipusam_happiness
29,43,9/11/2019,29_jail_punishment_prison_probation
31,17,9/11/2019,31_video_tv_netflix_videos
32,9,9/11/2019,32_bless_lord_blessing_blessed
33,5,9/11/2019,33_cambodia_indonesia_thailand_asean
34,35,9/11/2019,34_stupid_stupidity_idiot_idiots
