Topic,Frequency,date,Name
-1,790,18/6/2020,-1_support_well_need_leader
0,130,18/6/2020,0_lim_jia_lai_jin
1,139,18/6/2020,1_health_healthy_stay_leadership
2,27,18/6/2020,2_singaporean_singaporeans_opposition_pa...
3,43,18/6/2020,3_frontliners_fu_fuel_frontliner
4,28,18/6/2020,4_minister_prime_cabinet_ministers
5,1,18/6/2020,5_congratulations_onward_journey_go
6,39,18/6/2020,6_mask_wear_wearing_masks
7,12,18/6/2020,7_hsien_singapure_congratulations_strong...
8,2,18/6/2020,8_retirement_retire_happy_contribution
9,40,18/6/2020,9_suicide_pain_parents_family
10,16,18/6/2020,10_border_malaysia_borders_causeway
11,8,18/6/2020,11_tcb_hougang_tanjong_sengkang
12,20,18/6/2020,12_money_pay_salary_donate
14,1,18/6/2020,14_psp_ps_go_win
15,55,18/6/2020,15_virus_infected_vaccine_testing
16,6,18/6/2020,16_singapura_majullah_singapureans_singa...
17,8,18/6/2020,17_love_boos_animal_honesty
18,40,18/6/2020,18_thank_thanku_thankyou_notifying
19,2,18/6/2020,19_congrats_congratulation_congratulated...
20,7,18/6/2020,20_pray_bless_blessing_blessings
21,181,18/6/2020,21_father_fathers_dad_blessed
22,2,18/6/2020,22_election_elections_campaign_polling
23,9,18/6/2020,23_luck_lucky_best_fortune
25,7,18/6/2020,25_sg_united_together_sar
26,1,18/6/2020,26_best_rocky_betterment_choices
27,30,18/6/2020,27_years_time_countdown_admin
28,3,18/6/2020,28_monkey_monkeys_food_steal
29,2,18/6/2020,29_morning_sirs_herro_morningeverbody
30,11,18/6/2020,30_talk_listening_dialogue_louder
31,12,18/6/2020,31_eat_food_eating_lunch
32,35,18/6/2020,32_mask_eating_eat_coffee
33,1,18/6/2020,33_hari_proud_muslim_muslims
34,4,18/6/2020,34_nurses_nurse_nursing_doctors
35,41,18/6/2020,35_photo_picture_pic_beautiful
36,2,18/6/2020,36_vote_voted_votes_voting
37,25,18/6/2020,37_covid_test_ge_markets
38,7,18/6/2020,38_hope_future_better_tomorrow
39,1,18/6/2020,39_vote_election_votepap_papy
40,2,18/6/2020,40_pink_tie_color_wear
41,15,18/6/2020,41_social_ambassadors_ambassador_gatheri...
42,4,18/6/2020,42_goodmorning_goodluck_lidder_mmorning
43,1,18/6/2020,43_support_supporting_heartedly_izzy
45,145,18/6/2020,45_happy_children_fulfilled_fukasawa
46,1,18/6/2020,46_parliament_opposition_debates_debate
47,5,18/6/2020,47_hello_dear_cavair_archana
48,23,18/6/2020,48_police_enforcement_fined_laws
49,7,18/6/2020,49_china_chinese_mandarin_coronavirus
51,1,18/6/2020,51_congratulations_dear_welcome_respecte...
52,5,18/6/2020,52_evening_night_goodnight_nights
53,4,18/6/2020,53_song_rendition_sang_singing
54,1,18/6/2020,54_hero_super_superman_star
55,3,18/6/2020,55_job_jobs_worked_rewarded
56,1,18/6/2020,56_liverpool_fan_fc_fans
58,1,18/6/2020,58_allah_bless_pray_insha
