date,from.name,senti_comp,period,CountryCode,C1_School.closing,C2_Workplace.closing,C3_Cancel.public.events,C4_Restrictions.on.gatherings,C5_Close.public.transport,C6_Stay.at.home.requirements,C7_Restrictions.on.internal.movement,C8_International.travel.controls,E1_Income.support,E2_Debt.contract.relief,E3_Fiscal.measures,E4_International.support,H1_Public.information.campaigns,H2_Testing.policy,H3_Contact.tracing,H4_Emergency.investment.in.healthcare,H5_Investment.in.vaccines,H6_Facial.Coverings,H7_Vaccination.policy,M1_Wildcard,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,newcases,new_deaths,positive_rate,Economic.growth.quarterly,posneg,pos_senti,neg_senti,phase,cuts,dat,days,senti,senti_lag,senti_lag2,senti_lag3,senti_lag4,senti_lag5,new_deaths_lag,pos_rate_lag
1/11/2019,0,0.144786842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.144786842,0,PrCB,0,18201,0,0.144786842,0,0,0,0,0,0,0
2/11/2019,0,0.188410753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.188410753,0,PrCB,0,18202,1,0.188410753,0.144786842,0,0,0,0,0,0
3/11/2019,0,0.275162679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.275162679,0,PrCB,0,18203,2,0.275162679,0.188410753,0.144786842,0,0,0,0,0
4/11/2019,0,0.183807534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.183807534,0,PrCB,0,18204,3,0.183807534,0.275162679,0.188410753,0.144786842,0,0,0,0
5/11/2019,0,0.046963425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.046963425,0,PrCB,0,18205,4,0.063751094,0.183807534,0.275162679,0.188410753,0.144786842,0,0,0
6/11/2019,0,0.203784364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.203784364,0,PrCB,0,18206,5,0.203784364,0.046963425,0.183807534,0.275162679,0.188410753,0.144786842,0,0
7/11/2019,0,0.047549091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.047549091,0,PrCB,0,18207,6,0.063751094,0.203784364,0.046963425,0.183807534,0.275162679,0.188410753,0,0
8/11/2019,0,0.066853917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.066853917,0,PrCB,0,18208,7,0.066853917,0.047549091,0.203784364,0.046963425,0.183807534,0.275162679,0,0
9/11/2019,0,0.111306161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.111306161,0,PrCB,0,18209,8,0.111306161,0.066853917,0.047549091,0.203784364,0.046963425,0.183807534,0,0
10/11/2019,0,0.08062616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.08062616,0,PrCB,0,18210,9,0.08062616,0.111306161,0.066853917,0.047549091,0.203784364,0.046963425,0,0
11/11/2019,0,-0.097500909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,neg,0,-0.097500909,PrCB,0,18211,10,0.063751094,0.08062616,0.111306161,0.066853917,0.047549091,0.203784364,0,0
12/11/2019,0,-0.020445615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,neg,0,-0.020445615,PrCB,0,18212,11,0.063751094,-0.097500909,0.08062616,0.111306161,0.066853917,0.047549091,0,0
13/11/2019,0,0.161404713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.161404713,0,PrCB,0,18213,12,0.161404713,-0.020445615,-0.097500909,0.08062616,0.111306161,0.066853917,0,0
14/11/2019,0,0.184063496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.184063496,0,PrCB,0,18214,13,0.184063496,0.161404713,-0.020445615,-0.097500909,0.08062616,0.111306161,0,0
15/11/2019,0,0.103223692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.103223692,0,PrCB,0,18215,14,0.103223692,0.184063496,0.161404713,-0.020445615,-0.097500909,0.08062616,0,0
16/11/2019,0,0.093396296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.093396296,0,PrCB,0,18216,15,0.093396296,0.103223692,0.184063496,0.161404713,-0.020445615,-0.097500909,0,0
17/11/2019,0,0.035731014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,pos,0.035731014,0,PrCB,0,18217,16,0.063751094,0.093396296,0.103223692,0.184063496,0.161404713,-0.020445615,0,0
